label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p2,8,0.5,0.16082723863774462,1.3126931523658092,1.286617909101957,1.208165704319505,MM1,WTI_ohlc,with_trend
,p3,4,0.25,-0.528433194570153,0.30803092321030945,-2.113732778280612,3.054663639142702,MM1,WTI_ohlc,with_trend
,p4,0,,,,0.0,,MM1,WTI_ohlc,with_trend
,p1,0,,,,0.0,,MM1,WTI_ohlc,counter_trend
,p2,18,0.4444444444444444,0.19091364113515535,1.3572009757802725,3.4364455404327963,4.4926532783265225,MM1,WTI_ohlc,counter_trend
,p3,6,0.6666666666666666,1.0581160547698198,6.264325367624026,6.348696328618919,1.2059847910738672,MM1,WTI_ohlc,counter_trend
,p4,0,,,,0.0,,MM1,WTI_ohlc,counter_trend
,p1,0,,,,0.0,,MM1,WTI_ohlc,vol_high
,p2,9,0.6666666666666666,0.6411026073177898,3.3110930721462313,5.769923465860108,1.0080109864957647,MM1,WTI_ohlc,vol_high
,p3,5,1.0,1.6991223961109754,inf,8.495611980554877,0.0,MM1,WTI_ohlc,vol_high
,p4,0,,,,0.0,,MM1,WTI_ohlc,vol_high
,p1,0,,,,0.0,,MM1,WTI_ohlc,vol_low
,p2,15,0.3333333333333333,-0.15471199175105774,0.7729795010466013,-2.3206798762658662,5.066667219212847,MM1,WTI_ohlc,vol_low
,p3,5,0.0,-0.8521296860433137,0.0,-4.260648430216569,4.260648430216569,MM1,WTI_ohlc,vol_low
,p4,0,,,,0.0,,MM1,WTI_ohlc,vol_low
,p1,75,0.36,-0.3847660905211265,0.6819696091377221,-28.857456789084488,32.82029656652362,MM1,WTI_eia,all
,p2,48,0.5625,0.29971719801290236,1.3097349415503137,14.386425504619314,10.732516589303083,MM1,WTI_eia,all
,p3,22,0.45454545454545453,0.2790229664084591,1.2751802290104415,6.1385052609861,8.323651088102212,MM1,WTI_eia,all
,p4,19,0.5789473684210527,1.0710038921747282,2.6888822663981795,20.349073951319838,3.8600501321048775,MM1,WTI_eia,all
,p1,36,0.3055555555555556,-0.7603695076068601,0.41424654849054454,-27.373302273846964,31.556747181196833,MM1,WTI_eia,with_trend
,p2,23,0.43478260869565216,-0.1161210040259872,0.9111937186755495,-2.6707830925977056,20.169398375320426,MM1,WTI_eia,with_trend
