name,family,symbol,dataset,window_start,lag,cost_mult,start,end,years,sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr,ann_vol,max_dd,t_stat,turnover_py,cost_py,time_in_mkt,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
pre_hol_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,0.21827161650526186,0.04896487188476441,0.35496533544072056,0.36522807454072814,0.004681233103235094,0.02256482554092648,-0.11521565448644078,1.2597416165719246,8.600684806543496,0.0033350799978211676,0.03276149630688587,-0.62,0.72,0.27,0.46
pre_hol_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.12148407008219483,0.0014157404333199604,-0.23466009881725086,0.12523997951677357,-0.003304974297902552,0.024734601501640308,-0.14601613132098323,-0.6911267009876313,5.889390683283687,0.006105771357134911,0.03200098087297695,0.03,-0.08,-0.25,-0.18
pre_hol_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,0.2485257464067601,0.3195229432683099,0.19547349515162663,,0.004356717939081323,0.01815519427346805,-0.04456182532049047,1.439639001098896,,,,-0.25,0.68,0.11,0.31
post_hol_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.07678827301642724,0.06979733123513777,-0.20359131302609715,0.029286604717931392,-0.0036596803917299248,0.03823961720483975,-0.30456404454120267,-0.43569780090319804,9.533906341973703,0.004056589689258563,0.030198446937014668,-0.16,0.09,-0.33,0.12
post_hol_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.010469474214559436,0.09235847112710995,-0.09455014971010371,0.0867570640141889,-0.0010536969886005831,0.03661416270034484,-0.2567202200236893,-0.06042394601218909,7.584240001034932,0.0035610495637022157,0.028830116750059566,0.02,-0.01,-0.31,0.61
post_hol_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.09029744880908508,-0.6777010925554434,0.4113948626737668,0.08360844649410722,-0.0038992512574840266,0.03606480395248057,-0.3648950857534041,-0.5137050303039615,5.574138859439242,0.006270717235297999,0.030161844041196664,-0.77,-0.45,0.36,0.6
post_hol_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.10881025151807819,-0.25620115822874867,0.04236644838358626,,-0.003010054561410125,0.02486369611600498,-0.24039920674037196,-0.6303068558072934,,,,-0.31,-0.27,-0.17,0.63
exp_week_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.12409729819098277,-0.2736185318619909,0.0405028619244695,-0.009434474381235333,-0.012012269814180132,0.07482420188084052,-0.42786743344608946,-0.7041299119759171,15.985443588597581,0.008579637147985611,0.23961543202267965,-0.3,-0.29,0.12,0.13
exp_week_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,0.06567527003668736,0.3586297927061726,-0.26159308622129646,0.1702337362296183,0.0021333874678506337,0.07256098529244245,-0.4221687269784291,0.3790409040326127,12.881656774290857,0.00758744915946337,0.24029068382177746,0.06,0.46,-0.28,-0.12
exp_week_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.011148055756286081,0.04084593894719802,-0.07082606342518073,0.15095682926576354,-0.0036848115300244233,0.07540161035737145,-0.4041028998751873,-0.06342164031922244,9.890973084315167,0.012220818254737887,0.23761647866601276,-0.26,0.36,0.19,-0.73
