sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,slope
XNGUSD,sunday_gap_predicts_reopen->20:00,oos,345,,,-1.7679338044046955,,-0.03526668608567034
XNGUSD,sunday_gap_predicts_reopen->20:00,full,708,,,0.9742264809312369,,0.023381005547089512
XNGUSD,sunday_gap_predicts_reopen->02:00,is,363,,,3.39002505846922,,0.1356151227680098
XNGUSD,sunday_gap_predicts_reopen->02:00,oos,345,,,-2.85833920676662,,-0.07011451950275295
XNGUSD,sunday_gap_predicts_reopen->02:00,full,708,,,-0.1408573592149127,,-0.0034368409217787887
XNGUSD,sunday_gap_predicts_reopen->09:00,is,363,,,3.560898006238339,,0.2879537461273554
XNGUSD,sunday_gap_predicts_reopen->09:00,oos,345,,,1.0722383681755454,,0.04828893405541262
XNGUSD,sunday_gap_predicts_reopen->09:00,full,708,,,2.8557486689896856,,0.12594534343374725
XNGUSD,sunday_gap_predicts_reopen->14:30,is,363,,,2.1728276066619903,,0.3501034116316115
XNGUSD,sunday_gap_predicts_reopen->14:30,oos,345,,,0.6451332574040877,,0.05748937894319129
XNGUSD,sunday_gap_predicts_reopen->14:30,full,708,,,1.8492256745506657,,0.15223567996080795
