sym,config,case,is_sharpe,oos_sharpe,full_sharpe,full_gross_sharpe,full_trades_py,full_avg_bps,full_hit,full_max_dd,full_ann_ret,full_ann_vol,full_sharpe_2x,oos_sharpe_2x,sharpe_2013_2016,sharpe_2017_2020
XNGUSD,on1000|q0.8|14:30,short trades only,-0.07608640125198546,-0.731435055577703,-0.4399639839215358,0.6566517985837692,22.081123244929795,-8.00014077332438,0.4540059347181009,-0.32658324486293877,-0.017665209439256358,0.040151489860149124,-1.4749134478803332,-1.7870899716118982,-0.2817748698329931,-1.1058854948931265
XNGUSD,on1000|q0.8|14:30,EIA report days only,-0.7552797876904098,-0.5935411391023452,-0.6640508121076786,-0.19482445467023948,4.586583463338533,-27.790733278490258,0.3,-0.19598544154229547,-0.012746451768917531,0.019194994624674357,-1.0491149559852992,-1.0514697686315828,-0.7346843130667177,-0.503904876675231
XNGUSD,on1000|q0.8|14:30,non-EIA days only,0.22785638128662897,-1.1743165142866687,-0.48594306271153265,0.9175557359028342,40.951638065522616,-6.8964027694599475,0.4528,-0.5077420791206588,-0.028241899016899143,0.05811771210254771,-1.8333291045439268,-2.650626264511951,-0.839175211991371,-1.4772689497877454
XNGUSD,on1000|q0.8|14:30,ex-2008,0.05278608648101658,-1.304997700728745,-0.6689064217869181,0.7469459393371368,41.67238689547582,-9.44324293136102,0.42924528301886794,-0.5757963170229052,-0.03935224729836436,0.058830721333544216,-2.008560286296589,-2.8596240902082943,-1.0507908476187544,-1.5621030851866087
XNGUSD,on1000|q0.8|14:30,ex-2020,-0.006834712589377069,-1.450799914278528,-0.6880542054123303,0.8412402822206951,43.17940717628705,-8.987065962691766,0.4294385432473445,-0.5178679598364804,-0.03880561805232177,0.056399071100897834,-2.1301153208836654,-3.0666475639135564,-1.0507908476187544,-1.8292103370723622
XNGUSD,on1000|q0.8|14:30,vol-targeted size (cap 3x),-0.10117309912722391,-1.7672385609353487,-1.0427722491623805,0.6774480219672655,45.53822152886115,-9.000867712815516,0.437410071942446,-0.7409666470416876,-0.07515086034717972,0.07206833554263221,-2.553866753402838,-3.4578501075284813,-1.3671086985633667,-2.150904069732453
XTIUSD,on1000|q0.8|14:30,baseline,0.8493847240266842,0.5316226894528092,0.6644736638388954,1.0316166344428175,48.91995841995842,10.70247156432431,0.5153949129852744,-0.1648624503869801,0.05235644639175326,0.0787938623319875,0.29281845033109266,0.16828985810556513,0.830527473282547,0.44585046557497887
XTIUSD,on1000|q0.8|14:30,entry 14:01,0.8516818432951954,0.5934876391315015,0.6990636580317259,1.0795766823361623,48.91995841995842,10.848477299034053,0.5140562248995983,-0.1601656071777975,0.0530707058388609,0.07591684280697134,0.313441959490858,0.21706782193718857,1.0067154661211764,0.45496834546505743
XTIUSD,on1000|q0.8|14:30,entry 14:02,0.8776611520796109,0.6246740343455209,0.7239517561288239,1.1027990585567913,48.91995841995842,11.275184238126121,0.5207496653279786,-0.12941733527974042,0.05515815441065005,0.07619037310662302,0.3398547741713238,0.2538141020108975,0.8024424703827778,0.6143337670326211
XTIUSD,on1000|q0.8|14:30,exit 14:29 (early),0.8204397898166947,0.6142288158210597,0.6946870123881147,1.0470715769785448,48.91995841995842,11.650515001140732,0.5194109772423026,-0.14973508450837558,0.05699427094269066,0.0820430926825051,0.3379532935222598,0.2686293918650665,0.995430646421198,0.502638560192475
XTIUSD,on1000|q0.8|14:30,exit 14:31 (late),0.767433657244476,0.41156938833312157,0.5626830895736985,0.948866811561233,48.91995841995842,8.638841312947418,0.5100401606425703,-0.20463017281512752,0.04226117578260068,0.07510653255035389,0.17228649382204678,0.0299610986926227,0.7036597769696471,0.30511153417603015
XTIUSD,on1000|q0.8|14:30,entry 14:01 + exit 14:31,0.7670332350286624,0.4729601613793546,0.5958636897872288,0.9973847753661237,48.91995841995842,8.787443900711212,0.5087014725568942,-0.2002061174810562,0.04298813902405098,0.0721442500371204,0.1895117242098792,0.07626211333493649,0.8818878391800505,0.30981059237398884
XTIUSD,on1000|q0.8|14:30,long trades only,0.7349892508162238,0.319143798334494,0.4852371078518675,0.746262917775135,23.313929313929314,10.954087295456107,0.5365168539325843,-0.1081250760128376,0.025538281690487483,0.05263052078507519,0.22025753014320604,0.07685798589861961,0.8756741221597804,0.1035198838140382
XTIUSD,on1000|q0.8|14:30,short trades only,0.49629701084847155,0.42980936165134614,0.45698441278054325,0.7149309807591927,25.606029106029105,10.473378980480524,0.4961636828644501,-0.09177376249136548,0.026818164701265777,0.05868507535758034,0.19577412545734738,0.15906275088122157,0.3477433934773514,0.5212507208037191
XTIUSD,on1000|q0.8|14:30,EIA report days only,0.4287219265799257,0.2682287160545146,0.3042195704756753,0.4854894108398525,9.43035343035343,9.872362827513442,0.5416666666666666,-0.046079196840991266,0.00930998706561351,0.030602853889565643,0.11980784053540212,0.08172998035375385,0.3883558127795864,0.17939712840212999
XTIUSD,on1000|q0.8|14:30,non-EIA days only,0.7582053425010016,0.46061131326821975,0.5926813782716871,0.9141052397604629,39.489604989604985,10.900706486547799,0.5091210613598673,-0.13210340936139997,0.04304645932613975,0.07263001825983997,0.26725709231638195,0.14739107853611247,0.7506830230070515,0.40818640092847064
XTIUSD,on1000|q0.8|14:30,ex-2008,0.7232688198663357,0.5316226894528092,0.5754335609325327,0.9256493173473763,42.436590436590436,9.724164924415435,0.4984567901234568,-0.16486245038697966,0.041266040423527627,0.07171295389280555,0.2209926304329119,0.16828985810556513,0.830527473282547,0.44585046557497887
XTIUSD,on1000|q0.8|14:30,ex-2020,0.8493847240266842,0.19389600267383567,0.5862835254841692,1.0631157938669318,46.16943866943867,7.262657345995884,0.5191489361702127,-0.14484838746953732,0.03353128129131053,0.057192944767839864,0.10223093123913905,-0.4551162435216851,0.830527473282547,-0.8831788312717365
XTIUSD,on1000|q0.8|14:30,vol-targeted size (cap 3x),0.7002214604179265,0.11513703274797382,0.3806585217516973,0.986421537565111,48.91995841995842,10.70247156432431,0.5153949129852744,-0.23608979447319423,0.021432935966422557,0.056304889400067636,-0.22591188044543117,-0.5745099984756467,0.48291272943911556,-0.18218928078594826
