name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_2000-2009,sr_2010-2019,sr_2020-2029,model,target,pooled,lag,blend
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,0.005981412693173609,-0.0039880811208233835,0.1410804788575539,0.04239716750049396,0.052189386969900435,-0.5721547912214391,-0.006970283535176917,-0.3977553365151483,0.1859401095023372,0.4809002684286599,31.831245475359022,0.038072464887896736,0.3122739830173955,0.2532609129862333,0.997524241799051,XNGUSD,fut,0.11926952507586108,0.02773002306791355,0.28,-0.51,0.69,lr,y1,False,2,0.5
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,0.02880491925299882,0.02393550775900022,0.10141955267551657,0.28401741570639505,0.3573016833063592,-0.35211600106844654,0.06797620013396517,-0.3419778634876334,1.2616936888142796,0.5113613512970038,,,,,,PORT,fut,0.38855119344363565,0.26510541754376105,0.29,-0.17,1.08,lr,y1,False,2,0.5
lr_y1_pooled,2005-01-03,2024-03-28,19.3,0.018988165243559407,0.005570793934672524,0.16341885260776268,0.11619323560626588,0.13485590789952515,-0.4913311720369633,0.01133816507423516,-0.8149096730925521,0.5105833253327524,0.5021582733812949,93.5170957249838,0.039591852338412586,0.35852010863611217,0.4765366704232641,0.9997944923962186,XTIUSD,fut,0.14024371104962213,0.11187391475130777,0.01,0.12,0.22,lr,y1,True,1,0.0
lr_y1_pooled,2005-01-04,2024-03-28,19.7,0.05766726192609253,0.047342450790747614,0.15080259767416876,0.38240231146873976,0.4703367037230549,-0.3051394670865569,0.1551502047334909,-0.4876569013419572,1.6965281751533998,0.4950594877999597,65.16722671694325,0.03269969524468099,0.599106639740896,0.4098727911610959,0.9997983870967742,XBRUSD,fut,0.3394052864062254,0.3901214177641975,0.23,0.46,0.41,lr,y1,True,1,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.2,-0.029961723894217335,-0.04091254451689763,0.153715797932955,-0.19491636056357395,-0.2592002136414947,-0.7051149828348444,-0.05802251478533732,0.13680093962452525,-0.8548394046976304,0.46182418489475857,69.59615166391565,0.07728352308700875,0.30779492750936327,0.30657589716476924,0.9997936868165875,XNGUSD,fut,0.5693326771426123,-0.3343360441793118,-0.2,-0.18,-0.22,lr,y1,True,1,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.7,0.017364836801800745,0.010616597411879258,0.11657384678410404,0.14895997070389727,0.18864299405557547,-0.4294465385011593,0.024721581058571272,-0.2754974001205453,0.6617265158040637,0.5140788415124699,,,,,,PORT,fut,0.4267340014717579,0.0946237374342985,-0.01,0.21,0.23,lr,y1,True,1,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.3,-0.00909655674748102,-0.022767887156687094,0.1665834527361775,-0.054606604666115735,-0.06536815737086608,-0.7376956411550235,-0.030863524042298796,-0.5258617809043226,-0.23995563640240716,0.49136513157894735,93.48992955085444,0.040699658029720955,0.1897356606374083,0.47625848984884755,0.9995889847924373,XTIUSD,fut,-0.9654749926448752,0.11457437404568152,-0.79,-0.04,0.75,lr,y1,True,2,0.0
lr_y1_pooled,2005-01-04,2024-03-28,19.7,0.01734618028856187,0.005830548232592658,0.15164349266139354,0.11438789745692783,0.14110485924768268,-0.5249359106843949,0.011107162062871585,-0.42700819289772884,0.5074820028855919,0.48769665187575634,65.12769983248732,0.03323352262960118,0.33352511602943513,0.40960520510257437,0.9995967741935484,XBRUSD,fut,-0.3629356284473937,0.20071151021557923,-0.32,0.05,0.78,lr,y1,True,2,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.2,-0.11725065166585397,-0.12165096725611957,0.15746650366507106,-0.7446069413927192,-0.9362005002838582,-0.930405208989255,-0.13075052254734795,-0.2547914111523441,-3.2656025008545564,0.4538699690402477,69.58019592512252,0.07737952474768639,-0.2535004082973217,0.30646832710728544,0.9995873736331752,XNGUSD,fut,0.015011298340414906,-0.8911817664829568,-0.64,-0.91,-0.57,lr,y1,True,2,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.7,-0.033122841664292135,-0.039490386544476674,0.119610964740145,-0.27692144893448156,-0.3534033172215624,-0.7251987469106767,-0.05445457085068673,-0.2787753824190476,-1.2301711975970007,0.48541540937437133,,,,,,PORT,fut,-0.48516345814105777,-0.2353065622957671,-0.79,-0.36,0.53,lr,y1,True,2,0.0
lr_y1_pooled,2005-01-03,2024-03-28,19.3,0.04204531899024564,0.0330724618468472,0.13757050102626206,0.3056274323099197,0.35477756584221665,-0.43846428902462475,0.07542794858030001,-0.7468550586273459,1.3430065002277496,0.5154130702836005,42.458209350371455,0.02249880081595957,0.4690950911919976,0.39826402121462234,1.0,XTIUSD,fut,0.8157512607227333,0.2225647622235973,0.6,0.11,0.38,lr,y1,True,1,0.5
lr_y1_pooled,2005-01-04,2024-03-28,19.7,0.07417740922752812,0.06748534546145168,0.13297566856202986,0.5578269320219751,0.6764708668493792,-0.2716408037806536,0.24843596588657285,-0.44065211370351814,2.4747996511836563,0.5095824087149485,29.549205135931313,0.018436777644048337,0.6961697278664238,0.33564733742665503,0.9985887096774193,XBRUSD,fut,0.46908655098753593,0.5726559859665045,0.5,0.57,0.59,lr,y1,True,1,0.5
lr_y1_pooled,2005-01-03,2024-03-28,19.2,0.033298104951434045,0.023519179865170603,0.14174074626367356,0.23492260220989078,0.2991852529334777,-0.41252370119043025,0.057012917796724655,-0.07603554513106006,1.0302936954213315,0.4859678085018572,31.69927833294909,0.03829729504274737,0.5049745105765636,0.2598444104762844,0.9987621208995254,XNGUSD,fut,0.5001727949531061,0.18480281265436582,0.25,0.04,0.56,lr,y1,True,1,0.5
