strategy,variant,blend,instrument,period,net_sharpe,sr_2005_2007,sr_2008_2024,sr_2010s,sr_2020s,gross_sharpe,cagr,max_dd,turnover_py,oos_accuracy,oos_auc,verdict
"LightGBM, next-day target, pooled",lgbm_y1_pooled,0.0,XNGUSD,2005-2024,-0.5152955791292017,0.24946838985177638,-0.6672507952747893,-0.92,-0.14,-0.0998455861197736,-0.08711460748975064,-0.8776991120651587,56.467654499986295,0.49463475030953363,0.49087141577060933,
"LightGBM, next-day target, pooled",lgbm_y1_pooled,0.0,PORT,2005-2024,-0.15867113121644957,0.43341607624157513,-0.26691308640965994,-0.37,0.03,,-0.025846769552087867,-0.6376747451195313,,0.5055896387184731,0.5142273343777475,
"50/50 blend: trend + LightGBM, next-day target, pooled",lgbm_y1_pooled,0.5,XTIUSD,2005-2024,0.19301033110519694,1.0574446481739843,0.05538920703342075,-0.11,0.3,0.36499162633510557,0.016937650365489443,-0.49152599838450006,44.21458772691728,0.5134635149023639,0.5191380206981688,
"50/50 blend: trend + LightGBM, next-day target, pooled",lgbm_y1_pooled,0.5,XBRUSD,2005-2024,0.40760352971739855,0.5448106939026776,0.3870607565695842,0.41,0.33,0.5569057611448327,0.04728433427873879,-0.36074160084942775,33.97463114686692,0.5085702762653761,0.5156349775200365,
"50/50 blend: trend + LightGBM, next-day target, pooled",lgbm_y1_pooled,0.5,XNGUSD,2005-2024,0.0614760611621217,0.32970178156823204,0.00758628630472602,-0.38,0.6,0.29156634887518973,-0.0011609982582287959,-0.5145948132064427,25.45510096527928,0.49463475030953363,0.49087141577060933,
"50/50 blend: trend + LightGBM, next-day target, pooled",lgbm_y1_pooled,0.5,PORT,2005-2024,0.33641552400966135,0.8037267266757132,0.25518025689310025,0.05,0.65,,0.029581895414629855,-0.37211826615314625,,0.5055896387184731,0.5142273343777475,
"LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.0,XTIUSD,2005-2024,0.34635090652713174,0.8938339030986908,0.25921283023034664,0.19,0.38,0.5160323489447008,0.04646374322772928,-0.4434544229781282,55.0844508893531,0.5436793422404933,0.5191199870661415,
"LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.0,XBRUSD,2005-2024,0.4530038188878229,1.5052445866545012,0.26612063954405973,0.28,0.14,0.6071930368803252,0.06100979403330542,-0.42744937845834097,36.84457736343824,0.5580221997981837,0.5440815757307279,
"LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.0,XNGUSD,2005-2024,-0.13428938147206027,-0.34316104546557863,-0.09683227173577867,-0.67,0.52,0.11644956300306515,-0.03447325915698174,-0.7294097211370174,32.46267034538952,0.5283797729618163,0.4997646394276031,
"LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.0,PORT,2005-2024,0.33019499922998763,0.9118045119216814,0.23100935458334868,-0.04,0.59,,0.03185469182562217,-0.3849615288073318,,0.5434708489601091,0.5399209188091083,
