dataset,symbol,period,effect,n_on,mean_on_bp,mean_off_bp,diff_bp,t_diff,p_diff,t_on_vs_0,p_on_vs_0,vol_ratio,hit_on,p_bh,p_holm
fut,XNGUSD,full,roll_win,2007,7.095275253807355,-6.750307029887104,13.845582283694458,2.0623283882301995,0.039247170717181576,1.2406175988116512,0.21489212367474717,0.9102104486336741,0.5057299451918286,0.2608647756995532,1.0
fut,XNGUSD,full,dow0,1576,0.8074394661629692,-4.429097210354959,5.236536676517928,0.5906719913719634,0.5548050205873042,0.09751704219568837,0.9223282087016422,1.2545203633019342,0.49238578680203043,0.8051189082655851,1.0
fut,XNGUSD,full,dow1,1727,-3.863649483177647,-3.3413032834066807,-0.5223461997709664,-0.07299858202146497,0.9418124023725791,-0.6144676740707523,0.5389873159209527,0.9354243792121559,0.49276201505500866,0.9788319803382702,1.0
fut,XNGUSD,full,dow2,1735,2.8606116098914716,-5.086912357927973,7.9475239678194445,1.1036311131956285,0.26984738547501336,0.4509621525891282,0.6520732129666701,0.9483021171251436,0.4904899135446686,0.619061649030913,1.0
fut,XNGUSD,full,dow3,1705,-20.265472321357635,0.8240396345939038,-21.089511955951536,-2.7264421594025285,0.0064462630655439885,-2.9013614232862572,0.003763142957207469,1.059337396061561,0.46686217008797654,0.08380141985207185,0.23851173342512758
fut,XNGUSD,full,dow4,1673,3.566626959577369,-5.18900596522735,8.755632924804718,1.3248761637925741,0.18531014431566145,0.6350223087856464,0.5255007528573532,0.8033110776684322,0.4943215780035864,0.48764428838475343,1.0
fut,XNGUSD,1990-2007,tom,823,1.854172996081438,2.6495590335901875,-0.7953860375087496,-0.07500950826988034,0.9402194614031699,0.19349514541787263,0.8466190093261089,1.0176040230973677,0.4957472660996355,,
fut,XNGUSD,1990-2007,eia,729,-16.872827214861353,6.385722177853113,-23.258549392714468,-1.9318248275361334,0.05367436091898241,-1.5045475853499992,0.13287413546669502,1.1466795226998823,0.46227709190672156,,
fut,XNGUSD,1990-2007,pre_hol,144,17.700773667499337,1.9806854578251676,15.72008820967417,0.7894280565614055,0.43105586423442327,0.9092583727029416,0.36474369686440145,0.8581720648072825,0.5138888888888888,,
fut,XNGUSD,1990-2007,post_hol,131,-6.884553477740784,2.79000469288004,-9.674558170620825,-0.2966095922899878,0.7672230436423638,-0.21276803349425122,0.8318411757308921,1.3849214107019805,0.4961832061068702,,
fut,XNGUSD,1990-2007,exp_week,1034,-13.569104671131724,7.490500926594921,-21.059605597726645,-2.1481348679812684,0.03184568454962592,-1.5731652689483318,0.11598676468754941,1.0315679595100822,0.4748549323017408,,
fut,XNGUSD,1990-2007,ltd,207,-22.082990285563884,3.7239177920587134,-25.806908077622598,-1.398538753744513,0.16330268624613123,-1.2291966095234421,0.22040029290572205,0.9516796089539861,0.47342995169082125,,
fut,XNGUSD,1990-2007,opt_exp,206,-17.184489859604305,3.4749647018914542,-20.65945456149576,-1.0976238981193327,0.2735310618101266,-0.9367255236028673,0.3500019750474055,0.9702065760738611,0.48058252427184467,,
fut,XNGUSD,1990-2007,roll_win,1043,10.553871386437404,-0.03080256065359161,10.584673947090996,1.1586871978858733,0.24672888462606474,1.3587526207005625,0.17451903747548017,0.9054611232448618,0.5119846596356663,,
fut,XNGUSD,1990-2007,dow0,824,-5.140746908137152,4.2784399002512865,-9.41918680838844,-0.7617872778607019,0.44635684635283934,-0.4431208061395482,0.6577948085917009,1.3087813358289206,0.4830097087378641,,
fut,XNGUSD,1990-2007,dow1,899,7.220035804535646,1.2744258563529858,5.9456099481826605,0.6106631149195484,0.5415163930795228,0.845029885680004,0.39831923466702357,0.9323749750849845,0.4994438264738598,,
fut,XNGUSD,1990-2007,dow2,898,1.6558464254685323,2.718174102341572,-1.0623276768730394,-0.10767404798147644,0.914269138259833,0.19027745717310857,0.8491347698479019,0.9529704143692423,0.4888641425389755,,
fut,XNGUSD,1990-2007,dow3,882,-8.721368512411232,5.342622919457339,-14.063991431868569,-1.3529691172063318,0.17629488893654366,-0.9338964997298967,0.3506131675554994,1.0296453231990792,0.4931972789115646,,
fut,XNGUSD,1990-2007,dow4,860,17.27428320533456,-1.1277362837292129,18.402019489063772,2.079277281821962,0.03774703473050137,2.317197586248888,0.020727266614642092,0.7743882632732251,0.5209302325581395,,
fut,XNGUSD,2008-2024,tom,769,-13.145200190904877,-9.08016587333542,-4.065034317569458,-0.3488888210516162,0.7272389089435767,-1.240339286391513,0.2152287241111807,1.0593790082173504,0.4811443433029909,,
fut,XNGUSD,2008-2024,eia,845,-34.12342602837452,-3.4581136785732243,-30.66531234980129,-2.7001114911436104,0.007025274409771535,-3.324758411564171,0.0009231143556753057,1.0832707253446334,0.43550295857988164,,
fut,XNGUSD,2008-2024,pre_hol,147,-7.687296826824988,-9.932895811903762,2.245598985078775,0.10194173926556227,0.9189313745327033,-0.3564960999715151,0.7219837420491877,0.9293658249212855,0.5034013605442177,,
