variant,feature,importance_share
lgbm_y1_per_instr,carry_deseason,0.0332894856207326
lgbm_y1_per_instr,logvol_20,0.03175976269006592
lgbm_y1_per_instr,vr_5_60,0.031328140521369126
lgbm_y1_per_instr,ret_250,0.03124505674757076
lgbm_y1_per_instr,carry_d20,0.031059503431209008
lgbm_y1_per_instr,x_wti_brent_spread_d5,0.030173239491859967
lgbm_y1_per_instr,x_ho_crack_rel_20,0.029875935896220746
lgbm_y1_per_instr,x_rb_crack_rel_20,0.02872734620190252
lgbm_y1_per_instr,vr_20_250,0.027192201326050488
lgbm_y1_per_instr,ewmac,0.026864233949837224
lgbm_y1_per_instr,ret_2,0.026103439508498118
lgbm_y1_per_instr,x_wti_brent_spread_d20,0.025670292257507908
lgbm_y1_per_instr,dow_next,0.025660321521101273
lgbm_y1_per_instr,x_XTIUSD_ret_1,0.025248141072590206
lgbm_y1_per_instr,x_XBRUSD_ret_1,0.023649630291310345
lgbm_y1_per_instr,ret_20,0.02221217644122043
lgbm_y1_per_instr,carry,0.021736814972110483
lgbm_y1_per_instr,vr_20_120,0.021005419460462773
lgbm_y1_per_instr,x_rb_ret_1,0.01955723336609821
lgbm_y1_per_instr,ret_10,0.018690541955915782
lgbm_y1_per_instr,ret_120,0.01707121094785866
lgbm_y1_per_instr,month_next,0.017006930681553394
lgbm_y1_per_instr,x_ho_ret_5,0.016234650145273102
lgbm_y1_per_instr,x_XNGUSD_ret_1,0.016230372435158805
lgbm_y1_per_instr,x_rb_ret_5,0.01582154592527594
lgbm_y1_per_instr,ma_dist_20,0.015661741178713422
lgbm_y1_per_instr,ret_60,0.015659462516982373
lgbm_y1_per_instr,x_XNGUSD_ret_5,0.015438605586860615
lgbm_y1_per_instr,ma_dist_10,0.015063338057951736
lgbm_y1_per_instr,ret_5,0.01484904113963028
lgbm_y1_per_instr,x_XBRUSD_ret_60,0.014556124396619135
lgbm_y1_per_instr,ma_dist_50,0.014439488780879589
lgbm_y1_per_instr,x_rb_ret_20,0.01400930202125045
lgbm_y1_per_instr,x_XBRUSD_ret_5,0.013522525509458334
lgbm_y1_per_instr,x_XTIUSD_ret_20,0.013121943613962026
lgbm_y1_per_instr,x_ho_ret_20,0.012583024098974539
lgbm_y1_per_instr,x_XNGUSD_ret_60,0.011920300060136401
lgbm_y1_per_instr,ma_dist_100,0.010112105542601835
lgbm_y1_per_instr,x_XTIUSD_ret_60,0.010097681397838143
lgbm_y1_per_instr,x_XNGUSD_ret_20,0.010040124350540011
lgbm_y1_per_instr,x_XTIUSD_ret_5,0.009229497962903895
lgbm_y1_per_instr,ma_dist_200,0.00785184592830479
lgbm_y1_per_instr,x_XBRUSD_ret_20,0.007232703262325904
lgbm_y1_per_instr,eia_next,0.006660822224911576
lgbm_y1_per_instr,tom_next,0.0016783525797444986
lgbm_y1_per_instr,pre_hol_next,0.001536721938109216
lgbm_y1_pooled,x_ho_ret_1,0.059957978421344885
lgbm_y1_pooled,carry_z,0.05106116617316149
lgbm_y1_pooled,x_ho_crack_rel_20,0.047518062121509295
lgbm_y1_pooled,logvol_20,0.03545280509327938
lgbm_y1_pooled,vr_5_60,0.031885472664296755
lgbm_y1_pooled,x_rb_crack_rel_20,0.03176236659021576
lgbm_y1_pooled,x_XNGUSD_ret_1,0.030690401282808474
lgbm_y1_pooled,x_wti_brent_spread_d5,0.03047289344040536
lgbm_y1_pooled,carry_deseason,0.030101246112896256
lgbm_y1_pooled,x_XNGUSD_ret_5,0.029525383242938626
lgbm_y1_pooled,ret_250,0.02939567006110732
lgbm_y1_pooled,ret_2,0.027380338655486447
lgbm_y1_pooled,x_XBRUSD_ret_1,0.02697008720580807
lgbm_y1_pooled,dow_next,0.026909871345377104
lgbm_y1_pooled,x_wti_brent_spread_d20,0.025443180012110586
lgbm_y1_pooled,x_rb_ret_5,0.025413750125862125
lgbm_y1_pooled,carry_d20,0.025083187304072458
lgbm_y1_pooled,x_rb_ret_1,0.02358691757443496
lgbm_y1_pooled,vr_20_250,0.0224341294996887
lgbm_y1_pooled,x_XNGUSD_ret_20,0.021002580863323995
lgbm_y1_pooled,carry,0.02093853088643234
lgbm_y1_pooled,month_next,0.020528871919768425
lgbm_y1_pooled,x_XNGUSD_ret_60,0.020526119341874673
lgbm_y1_pooled,x_rb_ret_20,0.02034421437638259
lgbm_y1_pooled,vr_20_120,0.019141613031881353
lgbm_y1_pooled,x_ho_ret_20,0.01901944993199543
