name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,lag
zcontinuous_10,1991-10-29,2024-03-28,32.4,-0.017955134269982354,-0.02212810078269678,0.09391876064587168,-0.19117729137934056,-0.24031737274559206,-0.6698236728200764,-0.03303571026317054,-0.5163427947446017,-1.0878803020337973,0.48419117647058824,49.07484487456409,0.02298351257836339,0.05355765066310905,0.32964994419149635,1.0,XTIUSD,fut,0.07803655865592231,-0.44560083584353394,0.23,-0.1,-0.53,-0.39,1
zcontinuous_10,1990-08-23,2024-03-28,34.1,-0.055382093265965146,-0.05796009595148388,0.09277289567942884,-0.5969641548899652,-0.7358297076199307,-0.8822915731400889,-0.06569267769973483,-0.7838935836029955,-3.48553817398541,0.47898964032126645,39.543770635969146,0.020705833952632053,-0.37381876266320646,0.27921316578640154,1.0,XBRUSD,fut,-0.5416689831361355,-0.6523188820495932,-0.65,-0.34,-0.66,-0.88,1
zcontinuous_10,1991-08-09,2024-03-28,32.5,-0.07343559431950582,-0.0748666952366146,0.09337992029395921,-0.7864174020317343,-1.0197412771542567,-0.9222726294705939,-0.08117631689838811,-0.48646891182793917,-4.485458074645737,0.4682849475481825,29.505084408882627,0.034719607008049144,-0.414984234472175,0.20801922769358788,1.0,XNGUSD,fut,-0.9448936806328442,-0.6139023395813871,-1.52,-0.29,-0.61,-0.78,1
zcontinuous_10,1990-08-23,2024-03-28,34.4,-0.04783973996069195,-0.04894054703165296,0.06827320377792308,-0.7007103418832306,-0.9216989075446804,-0.8283363935530681,-0.05908293709241394,-0.43677006290706666,-4.108159971552335,0.47783421842530593,,,,,,PORT,fut,-0.6664352811437109,-0.7363971574717646,-0.97,-0.32,-0.78,-0.91,1
zcontinuous_10,1991-10-29,2024-03-28,32.4,-0.020812344497624268,-0.024843780278514527,0.09323421122767407,-0.22322647688627287,-0.30180109551511386,-0.7636013236685212,-0.03253501468431083,0.1707535300914549,-1.2702538326851813,0.4689950980392157,49.10812260535299,0.023030101419003,0.023791911994055687,0.3297386534949892,1.0,XTIUSD,fut,-0.12133160702410964,-0.32159733254825207,0.34,-0.51,-0.52,0.07,2
zcontinuous_10,1990-08-23,2024-03-28,34.1,-0.047126394910579,-0.05010096501790917,0.09235904866905298,-0.510252060731433,-0.6739143450330931,-0.8753629874506321,-0.05723450241347418,-0.10490333002598567,-2.9792459420984034,0.4673495518565941,39.54064215568081,0.020728237121372475,-0.28586692449743745,0.27921918932542855,1.0,XBRUSD,fut,-0.4077357286223933,-0.6134167588491668,-0.19,-0.61,-0.94,-0.07,2
zcontinuous_10,1991-08-09,2024-03-28,32.5,-0.059089133509885136,-0.06159021678749921,0.09451870258340676,-0.6251581104569514,-0.8315333962998445,-0.8767911463128572,-0.07024502590668559,-0.1702618936559003,-3.5656897815776585,0.4666991949255916,29.502937973378764,0.034717526681113206,-0.2579242570943944,0.20800452271532743,1.0,XNGUSD,fut,-0.6206027922974573,-0.6304906589213349,-1.07,-0.3,-0.61,-0.53,2
zcontinuous_10,1990-08-23,2024-03-28,34.4,-0.04077414802281398,-0.04220405744878675,0.06844882151968039,-0.5956880939300118,-0.8278200173756282,-0.788410221298646,-0.05353058129975721,0.03226845453080178,-3.4924302336348148,0.4732163472639113,,,,,,PORT,fut,-0.5291172630050887,-0.6652068665284491,-0.46,-0.62,-0.9,-0.21,2
zfade_20_2.0,1991-10-29,2024-03-28,32.4,-0.012519735276808032,-0.017590346144899294,0.10219461397940387,-0.12250875842959041,-0.11676604625958752,-0.67353260169064,-0.026116547440681585,-0.14738445824693777,-0.6971270706923018,0.4426137950293214,13.215051229497627,0.010541274820701734,-0.019363195374150093,0.2639794611293183,0.4017156862745098,XTIUSD,fut,-0.08887257500947282,-0.15541773540934337,0.24,-0.25,-0.33,-0.06,1
zfade_20_2.0,1990-08-23,2024-03-28,34.1,-0.05131679963848846,-0.05521122699126946,0.10449874941696095,-0.4910757298513598,-0.47605414738447166,-0.9030269395995175,-0.06114017707573046,-0.34487110175043173,-2.867279699616406,0.4413005708612559,10.734085673733937,0.009654210682615443,-0.39880324534867956,0.23875854534406066,0.4325456873472238,XBRUSD,fut,-0.5192990578614636,-0.4618061515172645,-0.64,-0.3,-0.82,0.09,1
