sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,hour
XTIUSD,21:00,oos,1839,0.1817959168473064,38.98324685286121,0.19998479691704896,0.07402976778620704,21
XTIUSD,21:00,full,3827,0.007874977775130418,31.81830949002654,0.01531092630330036,0.003928913843713784,21
XTIUSD,22:00,is,1988,-0.3509209732786087,21.61231710450382,-0.7239626885338345,-0.2577556919905993,22
XTIUSD,22:00,oos,1839,0.6755019295027839,31.518843666637615,0.9190670206435274,0.3402174523617556,22
XTIUSD,22:00,full,3827,0.1423091595186165,26.834456439174055,0.3280720876460202,0.08418608654727089,22
XTIUSD,23:00,is,1988,0.3262917656862287,19.717103043746924,0.737855294582357,0.2627019390034691,23
XTIUSD,23:00,oos,1840,-0.5605669150972276,33.695548160400975,-0.7136147984383959,-0.2640919762155798,23
XTIUSD,23:00,full,3828,-0.09999349362452352,27.34295773305413,-0.2262623094703653,-0.05805324780980705,23
XNGUSD,00:00,is,1985,0.29346281277087216,28.4676340381923,0.45928467785126575,0.16364471046569787,0
XNGUSD,00:00,oos,1840,-0.5335906870524991,30.733720188734303,-0.7447354371564341,-0.27560898931301386,0
XNGUSD,00:00,full,3825,-0.10438775969318088,29.578399699564116,-0.21826827868053383,-0.056024136844306446,0
XNGUSD,01:00,is,2002,0.4709742594430138,21.845720231780078,0.9646346124022486,0.3422402423481442,1
XNGUSD,01:00,oos,1840,-0.07498713760198596,25.086689658069258,-0.12821898372656534,-0.047450816427575905,1
XNGUSD,01:00,full,3842,0.2095039391507703,23.452322724853918,0.5537133717740499,0.14180991661706704,1
XNGUSD,02:00,is,2004,0.9351208718765883,25.04746297936262,1.6712940450723075,0.59265817256059,2
XNGUSD,02:00,oos,1840,-1.4810849189056485,37.52061361978682,-1.6932416357901945,-0.6266287229257009,2
XNGUSD,02:00,full,3844,-0.22143965232718796,31.656375948087646,-0.4336964681870047,-0.11104383864288873,2
XNGUSD,03:00,is,2004,0.9860219748502845,29.4905386962964,1.4967619931669929,0.5307672998919336,3
XNGUSD,03:00,oos,1840,-0.21604110187812095,41.43759832658475,-0.22364063611483972,-0.08276411543443629,3
XNGUSD,03:00,full,3844,0.4106327809948563,35.71171107917724,0.7129099013271823,0.18253377155877296,3
XNGUSD,04:00,is,2005,0.05447634240561795,30.81964067668935,0.07914756503651542,0.028059546025275037,4
XNGUSD,04:00,oos,1840,0.42863711009741484,30.75430351599681,0.5978507571668991,0.22125043971578598,4
XNGUSD,04:00,full,3845,0.23352856933745297,30.784954584783453,0.47038089439075664,0.12042087314970464,4
XNGUSD,05:00,is,2005,-0.2425127184352563,36.62714985763945,-0.2964753449127552,-0.10510700590852945,5
XNGUSD,05:00,oos,1840,0.8145302267646075,37.13417168986007,0.9408976326684522,0.3482039831176833,5
XNGUSD,05:00,full,3845,0.26332837887755245,36.86963232829297,0.44287078381691347,0.1133780880892317,5
XNGUSD,06:00,is,2005,1.0446200320559211,53.44482733699632,0.8752051407116965,0.3102793991960104,6
XNGUSD,06:00,oos,1840,-0.031246417714334535,51.40267000549671,-0.02607494900101839,-0.00964972254845114,6
XNGUSD,06:00,full,3845,0.5297710677965528,52.47343200443724,0.6260325848346896,0.1602688191313607,6
XNGUSD,07:00,is,2005,-4.610616222867237,69.83612989753044,-2.9562148782853304,-1.0480429486312097,7
XNGUSD,07:00,oos,1840,1.267946828873719,56.93406452988701,0.955295570708252,0.35353231980391936,7
XNGUSD,07:00,full,3845,-1.797467714361813,64.04654007836777,-1.7402578331132306,-0.4455184516806052,7
XNGUSD,08:00,is,2005,-5.4469307144780466,82.50515052684472,-2.956160287956509,-1.0480235951635017,8
XNGUSD,08:00,oos,1840,-1.6638574308673,73.76242199811466,-0.9675866189601302,-0.35808094635945426,8
XNGUSD,08:00,full,3845,-3.6365653459881178,78.45570736066209,-2.8741870320212124,-0.7358124365145426,8
XNGUSD,09:00,is,2006,-1.1712989643567742,103.53664056129283,-0.5066862911787838,-0.17958661322960182,9
XNGUSD,09:00,oos,1840,-1.9166214752736934,84.64273922130788,-0.9713048378955844,-0.3594569713365358,9
XNGUSD,09:00,full,3846,-1.5278755166415199,94.95618518019809,-0.9978594001105321,-0.25542592998823066,9
XNGUSD,10:00,is,2006,-7.255744647294424,134.03354874676145,-2.4245655946579667,-0.8593473541284392,10
XNGUSD,10:00,oos,1840,-0.7591636491521148,86.49795541070162,-0.3764770217614776,-0.1393252506734941,10
XNGUSD,10:00,full,3846,-4.147655974236221,113.8286551042311,-2.259725893667177,-0.5784307767652328,10
XNGUSD,11:00,is,2006,3.0236757489117605,97.85202402916309,1.3839833576342682,0.4905301135845654,11
XNGUSD,11:00,oos,1840,-2.515519771202913,67.38485928024187,-1.6013059627724437,-0.5926055025201011,11
XNGUSD,11:00,full,3846,0.37361860980333644,84.68981338737213,0.27359109914206636,0.07003217179406608,11
XNGUSD,12:00,is,2006,-1.5425284545125875,92.94373650221543,-0.7433246251336398,-0.2634591744081971,12
XNGUSD,12:00,oos,1840,0.17697875222446047,64.18633448110555,0.11827350450890783,0.043770229552486196,12
XNGUSD,12:00,full,3846,-0.7198833010034439,80.47255761407402,-0.5547776222972163,-0.1420085736489823,12
XNGUSD,13:00,is,2006,-3.0166589037156983,90.67890465790607,-1.4899970403061626,-0.5281049178737256,13
XNGUSD,13:00,oos,1840,-1.1504541081823936,60.79118916426238,-0.8117785505641437,-0.30042006154726736,13
XNGUSD,13:00,full,3846,-2.1238308164090736,77.82133186164761,-1.6924891716417927,-0.43323299917175595,13
XNGUSD,14:00,is,2006,7.205311563841181,91.7372083732465,3.517812672361358,1.2468307803153844,14
XNGUSD,14:00,oos,1840,0.2905149243377,65.33039651040102,0.19074891016921844,0.0705916647998237,14
XNGUSD,14:00,full,3846,3.897140524661148,80.2602414282155,3.011273790853401,0.7708073987103952,14
XNGUSD,15:00,is,2006,4.425736443488393,38.657338763623706,5.127658090195212,1.8174139822792283,15
XNGUSD,15:00,oos,1840,2.3586942357467886,33.196971199498584,3.047769337994529,1.127907421877418,15
XNGUSD,15:00,full,3846,3.436823894802863,36.15816171995119,5.894616782888914,1.5088678560595357,15
XNGUSD,16:00,is,2006,3.6460490965012977,36.10312153450166,4.523173257213318,1.6031642861776707,16
XNGUSD,16:00,oos,1840,0.6096063332236944,26.185468128475357,0.9986148946234349,0.3695637780726075,16
XNGUSD,16:00,full,3846,2.1933567708562665,31.779472773734312,4.280231232384329,1.0956273428654737,16
XNGUSD,18:00,is,1895,1.4826434750388835,41.38934314383025,1.5593830298861469,0.5686544825261711,18
XNGUSD,18:00,oos,1834,0.9390171609886074,35.89659041443263,1.120263007456109,0.41526047841003993,18
XNGUSD,18:00,full,3729,1.2152767118401155,38.78099848425248,1.9136053689239079,0.4974580458462727,18
XNGUSD,19:00,is,1895,-1.154147031176789,30.58659340122919,-1.6426106566074807,-0.5990047955012694,19
XNGUSD,19:00,oos,1834,0.9227801539135329,23.20284164120688,1.70316504526476,0.6313313273763628,19
XNGUSD,19:00,full,3729,-0.13267090957430858,27.22289230332956,-0.29760322505551795,-0.07736449801921165,19
XNGUSD,20:00,is,1978,0.23318670103309402,31.484830994581404,0.32939390250640976,0.1175716687354582,20
XNGUSD,20:00,oos,1835,0.04150166882644305,24.18411516205352,0.0735111797416943,0.027241789242192786,20
XNGUSD,20:00,full,3813,0.14093859348019486,28.20476097992884,0.3085609138153591,0.07932457972152594,20
XNGUSD,21:00,is,1983,-0.2959941784366164,28.329226592602154,-0.4652750971449322,-0.16586269655607233,21
XNGUSD,21:00,oos,1838,0.4581860643621279,20.614285661027125,0.9528978337214011,0.3528367852560039,21
XNGUSD,21:00,full,3821,0.06678605874320369,24.917758947907444,0.16567819474935983,0.042547799627584135,21
XNGUSD,22:00,is,1985,-1.396003162878841,27.833141916259198,-2.2346238199233692,-0.7962041532104722,22
XNGUSD,22:00,oos,1839,-0.3115970140180905,18.422401658386626,-0.7253337820865033,-0.26850186755760064,22
XNGUSD,22:00,full,3824,-0.8745013564575752,23.780123502279675,-2.2740778257329195,-0.5837765586424114,22
XNGUSD,23:00,is,1985,0.7381903732075114,28.138901719110027,1.1688034643072127,0.41644869452796907,23
XNGUSD,23:00,oos,1840,0.15004181326227553,22.68876801883589,0.2836679700126755,0.10497881343498573,23
XNGUSD,23:00,full,3825,0.4552640071162085,25.660408498197086,1.0972749648630677,0.28164368711266413,23
