sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,weekday
XNGUSD,intraday_0900_1430,oos,348,3.1255443772904776,188.55245102893804,0.3092310600594045,0.2631441730578521,Mon
XNGUSD,intraday_0900_1430,full,731,15.125205974340199,224.47319982042723,1.8217781488137712,1.0696386090298233,Mon
XNGUSD,intraday_0900_1430,is,413,-7.156637641404205,231.02968690307623,-0.629529758742419,-0.49174676232417786,Tue
XNGUSD,intraday_0900_1430,oos,378,-2.7707060512967074,160.97989738822912,-0.33462987170365416,-0.2732241461223172,Tue
XNGUSD,intraday_0900_1430,full,791,-5.060705731087348,200.51817826129334,-0.7098156594203021,-0.40064304211328544,Tue
XNGUSD,intraday_0900_1430,is,414,-4.397213251277366,257.2968361304845,-0.34773087448160134,-0.27129597626371965,Wed
XNGUSD,intraday_0900_1430,oos,378,-29.436225594864858,166.7298865337029,-3.432531788743112,-2.8026504694344827,Wed
XNGUSD,intraday_0900_1430,full,792,-16.34765096071685,219.02361994343696,-2.100520840319622,-1.184853550680408,Wed
XNGUSD,intraday_0900_1430,is,408,-47.30432501504755,319.6433108267274,-2.9892711526463756,-2.349283886539994,Thu
XNGUSD,intraday_0900_1430,oos,371,-26.645430702889215,227.18356091572807,-2.259086170798963,-1.8618561025777796,Thu
XNGUSD,intraday_0900_1430,full,779,-37.4654934491801,279.46756263313483,-3.7416984027272844,-2.128140614507885,Thu
XNGUSD,intraday_0900_1430,is,388,2.9605436670158998,238.5254318401761,0.24448523889045828,0.1970321293132305,Fri
XNGUSD,intraday_0900_1430,oos,365,16.495382188090606,151.55132073675847,2.0794529052947053,1.7278376264285544,Fri
XNGUSD,intraday_0900_1430,full,753,9.521255566341617,201.1035366683798,1.2991880052730511,0.751579255590194,Fri
XNGUSD,overnight_1430_0900,is,382,-1.0714203901779293,237.7578720885143,-0.08807581760597911,-0.07153610209699211,Mon
XNGUSD,overnight_1430_0900,oos,348,-9.819178781815708,252.47762277778818,-0.7255074844288292,-0.6173799844059379,Mon
XNGUSD,overnight_1430_0900,full,730,-5.241584664547716,244.7554358464454,-0.578617666124542,-0.3399621205630823,Mon
XNGUSD,overnight_1430_0900,is,413,14.251988304754951,186.73534593531707,1.5510434090318097,1.2115719138350152,Tue
XNGUSD,overnight_1430_0900,oos,378,20.14465603612721,183.30463856582688,2.136644657497976,1.7445630575045898,Tue
XNGUSD,overnight_1430_0900,full,791,17.067953415322222,185.01027204613024,2.5946205222846386,1.464488202509705,Tue
XNGUSD,overnight_1430_0900,is,414,14.839160859970882,159.54559975459333,1.8924511696932944,1.4764705273259409,Wed
XNGUSD,overnight_1430_0900,oos,378,18.85923526007348,174.441235003222,2.101942470572671,1.716228840529363,Wed
XNGUSD,overnight_1430_0900,full,792,16.757832732747122,166.7266424065655,2.8286254055962496,1.5955599159185445,Wed
XNGUSD,overnight_1430_0900,is,408,-0.03451321388416277,137.65380271496798,-0.005064391497902973,-0.00398013185609498,Thu
XNGUSD,overnight_1430_0900,oos,371,6.727409409653096,137.95724340916462,0.9392696839753553,0.7741116809445703,Thu
XNGUSD,overnight_1430_0900,full,779,3.185863285900591,137.75125070976844,0.6455060443303475,0.3671401278222864,Thu
XNGUSD,overnight_1430_0900,is,388,-9.390227890035453,146.80870677429988,-1.2599119118677362,-1.0153706124304245,Fri
XNGUSD,overnight_1430_0900,oos,365,-18.061069762035075,148.22112246988667,-2.327982999705926,-1.9343436970061372,Fri
XNGUSD,overnight_1430_0900,full,753,-13.593225610194636,147.46064525123467,-2.529553581878286,-1.4633447894587226,Fri
