bot,series,start,ruined,stopped_out,years_to_ruin,years_observed,peak_equity_before_ruin,closed_trades,win_rate
grid_hedged,Brent (BRENT_W),2002-11-01,True,True,0.14285714285714285,0.14285714285714285,0.9996499999999999,10,1.0
grid_hedged,Brent (BRENT_W),2002-12-02,True,True,0.15476190476190477,0.15476190476190477,0.9996499999999999,7,1.0
grid_hedged,Brent (BRENT_W),2003-01-02,True,True,0.32142857142857145,0.32142857142857145,1.0195245759755949,45,1.0
grid_hedged,Brent (BRENT_W),2003-02-03,True,True,0.1349206349206349,0.1349206349206349,0.9996499999999999,42,1.0
grid_hedged,Brent (BRENT_W),2003-03-03,True,True,0.05555555555555555,0.05555555555555555,0.9996499999999999,39,1.0
grid_hedged,Brent (BRENT_W),2003-04-01,True,True,0.3333333333333333,0.3333333333333333,1.0315601930345084,31,1.0
grid_hedged,Brent (BRENT_W),2003-05-01,True,True,0.25396825396825395,0.25396825396825395,0.9996499999999999,24,1.0
grid_hedged,Brent (BRENT_W),2003-06-02,True,True,0.8809523809523809,0.8809523809523809,1.1731325874295409,41,1.0
grid_hedged,Brent (BRENT_W),2003-07-01,True,True,0.6746031746031746,0.6746031746031746,1.0566123377349619,31,1.0
grid_hedged,Brent (BRENT_W),2003-08-01,True,True,0.623015873015873,0.623015873015873,1.0427595457976835,30,1.0
grid_hedged,Brent (BRENT_W),2003-09-01,True,True,0.503968253968254,0.503968253968254,1.0231860308635436,29,1.0
grid_hedged,Brent (BRENT_W),2003-10-01,True,True,0.5873015873015873,0.5873015873015873,1.1176178281900053,28,1.0
grid_hedged,Brent (BRENT_W),2003-11-03,True,True,0.49206349206349204,0.49206349206349204,1.0467797674361916,23,1.0
grid_hedged,Brent (BRENT_W),2003-12-01,True,True,0.4166666666666667,0.4166666666666667,1.0734936350885318,22,1.0
grid_hedged,Brent (BRENT_W),2004-01-02,True,True,0.35714285714285715,0.35714285714285715,1.06872183743264,19,1.0
grid_hedged,Brent (BRENT_W),2004-02-02,True,True,0.2619047619047619,0.2619047619047619,1.0033352889596145,15,1.0
grid_hedged,Brent (BRENT_W),2004-03-01,True,True,0.24603174603174602,0.24603174603174602,1.0531785786090475,24,1.0
grid_hedged,Brent (BRENT_W),2004-04-01,True,True,0.1349206349206349,0.1349206349206349,1.0010661081461594,18,1.0
grid_hedged,Brent (BRENT_W),2004-05-04,True,True,0.30158730158730157,0.30158730158730157,1.0966776440711334,24,1.0
grid_hedged,Brent (BRENT_W),2004-06-01,True,True,0.2261904761904762,0.2261904761904762,0.9996499999999999,16,1.0
grid_hedged,Brent (BRENT_W),2004-07-01,True,True,0.25793650793650796,0.25793650793650796,0.9996499999999999,16,1.0
grid_hedged,Brent (BRENT_W),2004-08-02,True,True,0.2261904761904762,0.2261904761904762,1.0633529849351988,47,1.0
grid_hedged,Brent (BRENT_W),2004-09-01,True,True,0.12301587301587301,0.12301587301587301,1.0034883062280788,34,1.0
grid_hedged,Brent (BRENT_W),2004-10-01,True,True,0.44841269841269843,0.44841269841269843,1.0102338023798827,31,1.0
grid_hedged,Brent (BRENT_W),2004-11-01,True,True,0.3531746031746032,0.3531746031746032,1.0274299358873642,28,1.0
grid_hedged,Brent (BRENT_W),2004-12-01,True,True,0.25,0.25,1.054629224614261,20,1.0
grid_hedged,Brent (BRENT_W),2005-01-04,True,True,0.17857142857142858,0.17857142857142858,0.9996499999999999,10,1.0
grid_hedged,Brent (BRENT_W),2005-02-01,True,True,0.12698412698412698,0.12698412698412698,1.002748974714987,20,1.0
grid_hedged,Brent (BRENT_W),2005-03-01,True,True,0.49603174603174605,0.49603174603174605,1.1179979533684334,84,1.0
grid_hedged,Brent (BRENT_W),2005-04-01,True,True,1.8055555555555556,1.8055555555555556,1.232186630203011,78,1.0
grid_hedged,Brent (BRENT_W),2005-05-03,True,True,0.32936507936507936,0.32936507936507936,1.00545316166117,66,1.0
grid_hedged,Brent (BRENT_W),2005-06-01,True,True,1.6547619047619047,1.6547619047619047,1.381129004668272,80,1.0
grid_hedged,Brent (BRENT_W),2005-07-01,True,True,1.5555555555555556,1.5555555555555556,1.2812205010593183,74,1.0
grid_hedged,Brent (BRENT_W),2005-08-01,True,True,1.4722222222222223,1.4722222222222223,1.2918233202434855,70,1.0
grid_hedged,Brent (BRENT_W),2005-09-01,True,True,1.3849206349206349,1.3849206349206349,1.1782314786483712,67,1.0
grid_hedged,Brent (BRENT_W),2005-10-03,True,True,1.2976190476190477,1.2976190476190477,1.2043265386236872,62,1.0
grid_hedged,Brent (BRENT_W),2005-11-01,True,True,1.1944444444444444,1.1944444444444444,1.1010228194619063,53,1.0
grid_hedged,Brent (BRENT_W),2005-12-01,True,True,1.1071428571428572,1.1071428571428572,1.1238152778212522,59,1.0
