name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,window
wf_seasonal_N5_tstat,2006-01-03,2024-03-28,18.7,-0.0363095879403252,-0.03874044019472023,0.07994623505787685,-0.45417508296718384,-0.571949525353141,-0.5664853458147037,-0.06838736514711566,-0.21355576233707715,-1.9628862507237894,0.4922455916719779,3.041078432826351,0.0067493019947813745,-0.36980472379411355,0.23279113763586431,1.0,XBRUSD,fut,-0.23116750008815481,-0.4852763456343392,,0.12,-0.71,-0.43,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,2006-01-03,2024-03-28,18.2,-0.007835296572272728,-0.01082330957848654,0.07806763243730247,-0.10036549499007026,-0.12839714529627794,-0.32573067302939285,-0.0332277874779999,0.023322099944137507,-0.42862171577447195,0.5010879025239339,2.7982869507697576,0.006884298114293751,-0.012182716596362195,0.16346006499616988,1.0,XNGUSD,fut,-0.7712957522336952,-0.04432278118063902,,-0.55,-0.12,0.26,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,2006-01-03,2024-03-28,18.7,-0.02528248544760742,-0.02657928761874273,0.057527543818660085,-0.43948487575453543,-0.5875887826291514,-0.44233412972006214,-0.0600887108475302,-0.09401027568656298,-1.9012120659585374,0.48770144189991516,,,,,,PORT,fut,-0.12556515836163418,-0.4827916769791254,,0.04,-0.68,-0.4,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,2002-01-31,2026-09-22,23.2,-0.010775417887909162,-0.013503888044056223,0.07510022613754384,-0.1434804985563466,-0.18293745979670023,-0.5122926081460966,-0.026359716750402846,-0.011482797461005775,-0.691719818239556,0.49274372545671846,2.696429883347819,0.005599825976420155,-0.06891190481949591,0.18163041284580506,1.0,XTIUSD,spot,0.23469654173774784,-0.24717301800291328,,0.33,-0.58,-0.01,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_tstat,2002-01-31,2026-09-22,24.0,-0.016929676004474398,-0.0199627353374483,0.08041461075760759,-0.21052985079421993,-0.26448842539711015,-0.49541029273314974,-0.04029535847411456,-0.06425799048043243,-1.0322337311857217,0.4991746450973919,2.996131751107198,0.006390210207337158,-0.13106578490282159,0.21013592990437732,1.0,XBRUSD,spot,-0.4086637857643865,-0.1612558774378007,,-0.09,-0.46,0.06,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_tstat,2002-01-31,2026-09-22,20.6,-0.004036434769431263,-0.00770596927873568,0.08573542831562193,-0.047080126019453036,-0.05284322553781783,-0.29162959452927306,-0.026423824684782375,-1.708239237680609,-0.21384409137631352,0.45615399572234105,1.7809603672972165,0.004232774490055606,0.002290226542529458,0.09084447835849901,0.9882669744181574,XNGUSD,spot,0.05150832169408331,-0.0566432359557907,,0.05,0.07,-0.22,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_tstat,2002-01-31,2026-09-22,24.9,-0.007885636623826388,-0.009453976977076839,0.056792227137779386,-0.13885063187776794,-0.18053291281186312,-0.4003569121255457,-0.023613872249349896,-0.14350822452221737,-0.6929295105977983,0.5011153601019758,,,,,,PORT,spot,0.08231868477749567,-0.2177736080734561,,0.21,-0.46,-0.11,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_tstat,2006-01-03,2026-09-22,20.3,-0.017217237229486995,-0.01985946624275059,0.07538353400413474,-0.2283951987252633,-0.2912620601933269,-0.5122926081460975,-0.03876586530229028,0.0057269421107781805,-1.0290867051116244,0.4910086004691165,2.6546873925429164,0.005594322393634478,-0.1541830099966292,0.18685881786466405,1.0,XTIUSD,spot,-0.06876971145168662,-0.24717301800291328,,0.25,-0.58,-0.01,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,2006-01-03,2026-09-22,20.7,-0.014921318965411145,-0.018126392186876505,0.08209771003436059,-0.1817507328665572,-0.229185331164095,-0.49541029273315207,-0.03658864672930829,-0.04344553346480774,-0.8264877803882402,0.4983688351563999,2.9067587512938435,0.006495945508633422,-0.10262456836191662,0.2185041096119959,1.0,XBRUSD,spot,-0.3890713902380996,-0.1612558774378007,,0.16,-0.46,0.06,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,2006-01-03,2026-09-22,19.7,-0.004831005994973551,-0.008479431109971403,0.0855424823321951,-0.05647493342796454,-0.06300681459646237,-0.29162959452927295,-0.02907603092771938,-1.8457595593398912,-0.250450040417837,0.4549531186302487,1.71511445243955,0.0040790757955120795,-0.008791050797962623,0.09329338377142814,0.9891041162227603,XNGUSD,spot,-0.05389286104045891,-0.0566432359557907,,0.0,0.07,-0.22,B_wf_seasonal,1,1.0,2006-01-01,common2006
