variant,symbol,year,auc,trend_auc,n
lgbm_y1_pooled,XBRUSD,2007,0.6019305488101021,0.47140602234094214,258
lgbm_y1_pooled,XBRUSD,2008,0.5375494071146244,0.5827045155108397,259
lgbm_y1_pooled,XBRUSD,2009,0.46262077294686,0.4559782608695652,258
lgbm_y1_pooled,XBRUSD,2010,0.43495203836930457,0.4962829736211031,259
lgbm_y1_pooled,XBRUSD,2011,0.488,0.45515789473684215,258
lgbm_y1_pooled,XBRUSD,2012,0.46562500000000007,0.51328125,258
lgbm_y1_pooled,XBRUSD,2013,0.546118115461181,0.4751161247511613,258
lgbm_y1_pooled,XBRUSD,2014,0.5679453235638199,0.5515054491718491,258
lgbm_y1_pooled,XBRUSD,2015,0.4514498050682261,0.4936951754385965,258
lgbm_y1_pooled,XBRUSD,2016,0.5055598966159764,0.47902266033539703,258
lgbm_y1_pooled,XBRUSD,2017,0.5288929440389295,0.5044403892944038,257
lgbm_y1_pooled,XBRUSD,2018,0.5084152741750617,0.531760873499427,258
lgbm_y1_pooled,XBRUSD,2019,0.5353118650329413,0.4744781725263223,258
lgbm_y1_pooled,XBRUSD,2020,0.5174141221374046,0.5007156488549618,259
lgbm_y1_pooled,XBRUSD,2021,0.5042424987702903,0.50396581406788,259
lgbm_y1_pooled,XBRUSD,2022,0.5882819652120842,0.5212694537686909,258
lgbm_y1_pooled,XBRUSD,2023,0.5264752211317096,0.4449897007148915,257
lgbm_y1_pooled,XBRUSD,2024,0.5175438596491229,0.45394736842105265,62
lgbm_y1_pooled,XNGUSD,2005,0.5266768292682926,0.4913617886178862,251
lgbm_y1_pooled,XNGUSD,2006,0.5128056628056628,0.39607464607464604,251
lgbm_y1_pooled,XNGUSD,2007,0.4798857559552747,0.4202418570734079,257
lgbm_y1_pooled,XNGUSD,2008,0.4772682926829268,0.5373333333333333,248
lgbm_y1_pooled,XNGUSD,2009,0.45116066770996344,0.494718309859155,250
lgbm_y1_pooled,XNGUSD,2010,0.42674532940019666,0.4721402818747951,248
lgbm_y1_pooled,XNGUSD,2011,0.5144249512670566,0.4711825860948668,249
lgbm_y1_pooled,XNGUSD,2012,0.44125143366891806,0.5175544794188862,251
lgbm_y1_pooled,XNGUSD,2013,0.48402777777777783,0.47878787878787876,252
lgbm_y1_pooled,XNGUSD,2014,0.45591609308423464,0.47518846279908233,248
lgbm_y1_pooled,XNGUSD,2015,0.5258024691358024,0.47836419753086423,255
lgbm_y1_pooled,XNGUSD,2016,0.5466466165413535,0.4630375939849624,258
lgbm_y1_pooled,XNGUSD,2017,0.4841856707885417,0.39855837941962347,254
lgbm_y1_pooled,XNGUSD,2018,0.42682443151771554,0.3985986250661026,246
lgbm_y1_pooled,XNGUSD,2019,0.49280932308455244,0.4590255393007687,257
lgbm_y1_pooled,XNGUSD,2020,0.4917793204238217,0.48626842041164287,257
lgbm_y1_pooled,XNGUSD,2021,0.5171740089493918,0.5058927333459382,252
lgbm_y1_pooled,XNGUSD,2022,0.5164561806352851,0.503986477867075,251
lgbm_y1_pooled,XNGUSD,2023,0.44693745970341714,0.4349129593810445,251
lgbm_y1_pooled,XNGUSD,2024,0.4733796296296296,0.4814814814814815,60
lgbm_y1_pooled,XTIUSD,2005,0.4765644955300128,0.5327586206896552,251
lgbm_y1_pooled,XTIUSD,2006,0.5177837699024139,0.4847200821777093,250
lgbm_y1_pooled,XTIUSD,2007,0.6061151079136691,0.46332219938335045,251
lgbm_y1_pooled,XTIUSD,2008,0.49377777777777776,0.5793015873015873,251
lgbm_y1_pooled,XTIUSD,2009,0.45354912705492545,0.4537402829106665,251
lgbm_y1_pooled,XTIUSD,2010,0.45330903884948265,0.5054987961215592,248
lgbm_y1_pooled,XTIUSD,2011,0.5047823540894008,0.48929663608562696,250
lgbm_y1_pooled,XTIUSD,2012,0.5199470599357157,0.49612403100775193,252
lgbm_y1_pooled,XTIUSD,2013,0.4905015197568389,0.42540526849037485,253
lgbm_y1_pooled,XTIUSD,2014,0.5639816810344828,0.5557314116379309,244
lgbm_y1_pooled,XTIUSD,2015,0.4825522801713278,0.5198412698412699,255
lgbm_y1_pooled,XTIUSD,2016,0.5726327116212339,0.5086083213773314,259
lgbm_y1_pooled,XTIUSD,2017,0.540723439932926,0.5074859264582584,259
lgbm_y1_pooled,XTIUSD,2018,0.5858850109994649,0.5282715975979547,260
lgbm_y1_pooled,XTIUSD,2019,0.46913356309329457,0.45976177519801675,260
lgbm_y1_pooled,XTIUSD,2020,0.5156781720952844,0.5108167233835683,257
lgbm_y1_pooled,XTIUSD,2021,0.511826415586108,0.4910405942529484,252
lgbm_y1_pooled,XTIUSD,2022,0.5428755641521599,0.5141843971631206,251
lgbm_y1_pooled,XTIUSD,2023,0.4743931884610497,0.45660185538187825,251
lgbm_y1_pooled,XTIUSD,2024,0.5300925925925926,0.43634259259259256,60
lgbm_y5_per_instr,XBRUSD,2005,0.5490121580547112,0.44642857142857134,253
lgbm_y5_per_instr,XBRUSD,2006,0.6382001836547291,0.5109886746250383,256
lgbm_y5_per_instr,XBRUSD,2007,0.48567119155354455,0.5059074912016088,258
lgbm_y5_per_instr,XBRUSD,2008,0.5030697002527987,0.6232093415192007,259
lgbm_y5_per_instr,XBRUSD,2009,0.552941906653426,0.3851787487586892,258
lgbm_y5_per_instr,XBRUSD,2010,0.49410835762876576,0.4442419825072886,259
lgbm_y5_per_instr,XBRUSD,2011,0.49504647749510766,0.46514187866927587,258
lgbm_y5_per_instr,XBRUSD,2012,0.5229677729677731,0.5051106301106301,258
lgbm_y5_per_instr,XBRUSD,2013,0.47921879768080566,0.43844980164784864,258
lgbm_y5_per_instr,XBRUSD,2014,0.6224463069669984,0.5981862231534836,258
lgbm_y5_per_instr,XBRUSD,2015,0.3744997141223556,0.4864366939838638,258
lgbm_y5_per_instr,XBRUSD,2016,0.44743083003952566,0.3826391000304044,258
lgbm_y5_per_instr,XBRUSD,2017,0.44155844155844154,0.5367965367965367,257
lgbm_y5_per_instr,XBRUSD,2018,0.38185096153846154,0.5703725961538462,258
lgbm_y5_per_instr,XBRUSD,2019,0.5960899315738025,0.4366894753991528,258
lgbm_y5_per_instr,XBRUSD,2020,0.49256594724220626,0.4642685851318945,259
lgbm_y5_per_instr,XBRUSD,2021,0.4806048652202498,0.4520381328073636,259
lgbm_y5_per_instr,XBRUSD,2022,0.5458937198067633,0.5718599033816424,258
lgbm_y5_per_instr,XBRUSD,2023,0.4694038929440389,0.341727493917275,257
lgbm_y5_per_instr,XBRUSD,2024,0.37053571428571425,0.4166666666666667,58
lgbm_y5_per_instr,XNGUSD,2005,0.5120118191161357,0.42632322713257964,251
lgbm_y5_per_instr,XNGUSD,2006,0.47689362865736945,0.35384194695105275,251
lgbm_y5_per_instr,XNGUSD,2007,0.47454634027524056,0.4251918158567774,257
lgbm_y5_per_instr,XNGUSD,2008,0.6491022638563623,0.625520426749935,248
lgbm_y5_per_instr,XNGUSD,2009,0.44528351881293055,0.45945945945945943,250
lgbm_y5_per_instr,XNGUSD,2010,0.35802721088435374,0.47846938775510195,248
lgbm_y5_per_instr,XNGUSD,2011,0.5820381132585485,0.49547236112988235,249
lgbm_y5_per_instr,XNGUSD,2012,0.4846692111959288,0.5223918575063613,251
lgbm_y5_per_instr,XNGUSD,2013,0.5204475308641975,0.38586676954732513,252
lgbm_y5_per_instr,XNGUSD,2014,0.5700445142707515,0.4983634459282535,248
lgbm_y5_per_instr,XNGUSD,2015,0.47408303616912895,0.4552024961793174,255
lgbm_y5_per_instr,XNGUSD,2016,0.45598221260741545,0.44570638783726946,258
lgbm_y5_per_instr,XNGUSD,2017,0.4690265486725664,0.3931463001318019,254
lgbm_y5_per_instr,XNGUSD,2018,0.5155835543766578,0.3357427055702918,246
lgbm_y5_per_instr,XNGUSD,2019,0.5084343371235787,0.4146257653379982,257
lgbm_y5_per_instr,XNGUSD,2020,0.4944518961102305,0.5089928057553956,257
lgbm_y5_per_instr,XNGUSD,2021,0.6149736104776178,0.47833452792076625,252
lgbm_y5_per_instr,XNGUSD,2022,0.48911382734912145,0.488540870893812,251
