name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,setting
crack,1990-08-23,2024-03-28,34.4,0.058800733771310496,0.056654713414729496,0.08589505125703623,0.6845648603823814,0.8627143005439253,-0.28903096351054325,0.196016069443241,0.13286820209808706,4.013038054855591,0.5166726425242022,,,,,,PORT,fut,0.529228336989534,0.8368302214196628,0.79,0.57,0.6,0.9,fin=0.0
crack,1991-10-29,2024-03-28,32.4,0.042532069877198424,0.03921663169399703,0.09012969236371723,0.4718985360069886,0.5938613067966395,-0.28487075798588035,0.13766464473668724,-0.03563146355646288,2.685303877759963,0.5139705882352941,6.699402720863723,0.009554432511405447,0.5776987018955618,0.3005955273061978,1.0,XTIUSD,fut,0.3853292419198293,0.5544816469661286,0.45,0.59,0.32,0.57,lag=2
crack,1990-08-23,2024-03-28,34.1,0.05781343910519154,0.055263597369624495,0.08966587679880005,0.6447652236192177,0.8169364790283272,-0.29750539020810374,0.1857566255554827,0.1559923520176202,3.7646377622074545,0.5102999638597759,5.355315851673152,0.007889834049761433,0.7325336258781944,0.2441498796398412,0.9662437434524502,XBRUSD,fut,0.5282309250112298,0.759264267906073,0.8,0.55,0.55,0.75,lag=2
crack,1990-08-23,2024-03-28,34.4,0.049517869963047544,0.046837490486403066,0.08649678765721193,0.5724821846481468,0.7157207008199454,-0.286772894237197,0.1633260723995156,0.03268623608841305,3.355989951684944,0.515531660692951,,,,,,PORT,fut,0.45802506733661474,0.6862409499381484,0.67,0.54,0.45,0.72,lag=2
crack,1991-10-29,2024-03-28,32.4,0.04073063701327805,0.037293064627506034,0.09069818203638107,0.4490788690443661,0.5646867189780561,-0.32638922194621567,0.11425948566908072,-0.042411993108211664,2.5554502429035635,0.514828431372549,6.6977523293690355,0.009560759082794097,0.5543106581126495,0.3005354260847927,1.0,XTIUSD,fut,0.33409595705620726,0.5593506557674193,0.47,0.5,0.32,0.57,lag=3
crack,1990-08-23,2024-03-28,34.1,0.054159018815371225,0.05137200750757742,0.09011730956939652,0.6009835299584155,0.7603428714035866,-0.3501488494720212,0.1467147688334253,0.13108835997487958,3.509006392507226,0.509277108433735,5.3520430444227864,0.007891094041735653,0.6883811380260642,0.24409490614619092,0.9661273425678035,XBRUSD,fut,0.44318552651413734,0.755744257083628,0.76,0.45,0.53,0.77,lag=3
crack,1990-08-23,2024-03-28,34.4,0.0468112134809069,0.04396193089759448,0.08700673959377905,0.5380182466261945,0.6715629859324883,-0.3327840441993952,0.13210348171396608,0.013794044081226083,3.1539563639179273,0.515832238021269,,,,,,PORT,fut,0.3879721694948337,0.6873840646549938,0.65,0.44,0.44,0.73,lag=3
crack,1991-10-29,2024-03-28,32.4,0.04570990927897565,0.042529155522926576,0.09009686506639429,0.5073418397553683,0.645061494011265,-0.2982242677647928,0.14260796360297878,0.10568606697050356,2.886991388387753,0.5117647058823529,11.07471035919059,0.010934569099075576,0.6285076084573327,0.3032218046243869,1.0,XTIUSD,fut,0.3088744441759487,0.6935475484431789,0.41,0.5,0.49,0.72,buffer=None
crack,1990-08-23,2024-03-28,34.1,0.06069183502793472,0.058346529563851224,0.08926053526895564,0.6799402988684858,0.8768802800393619,-0.3126526488351853,0.18661773626811193,0.37450432602037836,3.9700170409293607,0.5067453625632378,8.86306573329715,0.00917177320270245,0.7825001984165957,0.24621442010393538,0.9663601443370969,XBRUSD,fut,0.5485357621230691,0.807291296978378,0.86,0.53,0.55,0.92,buffer=None
crack,1990-08-23,2024-03-28,34.4,0.05234592404550883,0.04981939692841575,0.08633175718587612,0.6063345141093992,0.7690344125518117,-0.3000836538993251,0.16601836281668853,0.23172315499763566,3.5544381838913592,0.5123641142037988,,,,,,PORT,fut,0.4343104702162457,0.7744389016933083,0.68,0.49,0.53,0.87,buffer=None
crack,1991-10-29,2024-03-28,32.4,0.044051563651753285,0.04087724432345552,0.08925463909348588,0.49354928885672145,0.6179284190392024,-0.27987002443320563,0.14605795817626538,-0.10588966440310682,2.8085058929129603,0.515563725490196,4.364077457711644,0.008754967916390114,0.5914630797578431,0.296937420023025,1.0,XTIUSD,fut,0.3818113080008574,0.5959675231738232,0.5,0.55,0.4,0.57,buffer=0.25
crack,1990-08-23,2024-03-28,34.1,0.05882199226005824,0.056364280900548014,0.089276777762868,0.6588722592150216,0.8315640195704541,-0.30151350958131273,0.18693782901740125,0.11568066946585993,3.847005540386713,0.5113225728740063,3.4814789918197717,0.007173343973412213,0.739038954888713,0.241905542320396,0.9663601443370969,XBRUSD,fut,0.5419768212676546,0.7703463416248061,0.87,0.51,0.59,0.74,buffer=0.25
crack,1990-08-23,2024-03-28,34.4,0.050614881645549614,0.04803878933427508,0.08590867172911974,0.5891708092652667,0.733012988826006,-0.28697480948035603,0.1673972339985591,-0.010229329995881482,3.45382156640483,0.5188149563970852,,,,,,PORT,fut,0.4624954380629531,0.7109613062427492,0.73,0.5,0.5,0.71,buffer=0.25
