fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2019,0.13615910179278579,0.23615910179278587,1.029965513943323,50,27.23182035855716,0.54
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2020,0.02338929127594369,0.061389291275943725,0.3303344394767751,19,12.310153303128265,0.631578947368421
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2005,0.2556850963083611,0.4222850963083611,1.022793808677347,238,10.743071273460552,0.5336134453781513
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2006,0.16090112570969353,0.3331011257096935,0.7389628700845755,246,6.540696167060712,0.5365853658536586
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2007,0.24704289930729845,0.4276428993072985,0.9786502563649018,258,9.57530617470149,0.5271317829457365
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2008,-0.0751407615062897,0.1054592384937103,-0.18078192979625846,258,-2.9124326165228567,0.47674418604651164
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2009,-0.035310124761247175,0.14108987523875316,-0.08555686726908195,252,-1.4011954270336182,0.503968253968254
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2010,0.2697643685481992,0.44546436854819904,1.2703517698885443,251,10.747584404310723,0.5099601593625498
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2011,-0.10101670157794304,0.0746832984220569,-0.4047794628090234,251,-4.024569783981795,0.50199203187251
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2012,0.19853097652423302,0.3728309765242329,1.07097149895378,249,7.973131587318595,0.5220883534136547
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2013,-0.1318223225866355,0.04247767741336439,-0.9167626389551722,249,-5.294069180186165,0.5060240963855421
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2014,0.30485963119282944,0.4791596311928292,1.7131390896603393,249,12.24335868244295,0.5220883534136547
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2015,-0.22589769652627312,-0.051597696526272885,-0.6575487610604375,249,-9.07219664764149,0.4819277108433735
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2016,0.0730922188866503,0.24879221888665037,0.22491125089072117,251,2.912040593093637,0.50199203187251
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2017,-0.12279141689122933,0.052208583108770634,-0.5891004852287571,250,-4.911656675649173,0.476
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2018,0.287970560010089,0.46297056001008896,1.1392304159797189,250,11.518822400403563,0.528
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2019,-0.08236489540169895,0.09263510459830093,-0.35266664884082366,250,-3.2945958160679574,0.504
A,XTIUSD,XTIUSD|stretch|09:00|k0.5|16:55|none|none,2020,0.2522425845949018,0.3166425845949018,1.1206129298126668,92,27.41767223857628,0.5108695652173914
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2005,0.054166970062668046,0.05696697006266804,1.2593018494886443,4,135.4174251566701,0.75
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2006,0.0766458348523839,0.08644583485238388,1.2614563614581145,14,54.74702489455989,0.5
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2007,-0.05417482199655324,-0.04577482199655325,-1.2469919536032117,12,-45.1456849971277,0.25
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2008,0.19507124713224713,0.20487124713224714,2.1921972953063964,14,139.33660509446221,0.7857142857142857
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2009,-0.07095311159262824,-0.06535311159262824,-0.7088172684826829,8,-88.6913894907853,0.25
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2010,-0.040347162702727514,-0.03544716270272752,-2.14837879577179,7,-57.63880386103931,0.14285714285714285
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2011,0.025127801811862034,0.034227801811862024,0.528545319524525,13,19.329078316816943,0.6153846153846154
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2012,-0.008479558497092296,0.0020204415029076994,-0.2641570679426414,15,-5.653038998061527,0.3333333333333333
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2013,0.0024153367318144395,0.005915336731814436,0.1152930778385435,5,4.830673463628877,0.6
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2014,-0.05421824414629713,-0.04651824414629713,-2.0587947733101037,11,-49.289312860270115,0.2727272727272727
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2015,-0.08413317315508835,-0.07433317315508836,-1.2705628263120392,14,-60.09512368220597,0.35714285714285715
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2016,-0.09014611605625214,-0.08174611605625215,-1.640702541791729,12,-75.12176338021014,0.25
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2017,-0.006995815414328795,-0.0020958154143287944,-0.4849983842991969,7,-9.994022020469707,0.42857142857142855
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2018,-0.04205270133637868,-0.03435270133637869,-1.2333989446708027,11,-38.22972848761698,0.18181818181818182
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2019,-0.0083587608760918,-0.002058760876091803,-0.3383950631452385,9,-9.28751208454644,0.4444444444444444
C,XTIUSD,XTIUSD|eia_fade|w15|k2|14:30,2020,-0.03565437881775401,-0.03285437881775399,-0.38844711591444164,4,-89.13594704438502,0.75
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2005,-0.06727208765233234,-0.041472087652332346,-0.6491211292098248,43,-15.644671547054038,0.5116279069767442
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2006,-0.014056666328118528,0.014143333671881475,-0.16711200271725424,47,-2.990780069812451,0.5319148936170213
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2007,0.12981486275301676,0.16041486275301675,1.3794027836883502,51,25.45389465745426,0.6078431372549019
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2008,0.03170706300798322,0.06170706300798323,0.20506464225925966,50,6.341412601596641,0.4
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2009,0.20899281555811322,0.23779281555811327,1.0551028173947563,48,43.54016990794025,0.5
