name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,tilt,w,corr_tilt_vs_trend_port
trend+1.0xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.0905809570526461,0.0664346224110488,0.22850132852971639,0.3964132621700102,0.4648057564899779,-0.582865432911835,0.1139793486794366,-0.45861283821686244,2.2492547337193964,0.5142820709002806,9.367588928667749,0.02058327820223996,0.486416194538532,0.7044974132223095,0.9665968199186491,XTIUSD,fut,0.5906402731067038,0.17717030975786907,0.5,0.68,-0.08,0.38,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.11186368900003364,0.09109234488832652,0.2221037280609799,0.5036551613817163,0.6232111279666055,-0.5449405289063498,0.1671601579554768,0.07315883623719178,2.9068157250693267,0.5140957774221346,7.842670247422003,0.01763860852604879,0.582905950157268,0.5902263515754649,0.9677150345484871,XBRUSD,fut,0.5856013887787228,0.4181928318564388,0.92,0.32,0.37,0.42,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.06382021190480122,0.043555351258837804,0.2057305426563441,0.3102126260922163,0.3853684362630069,-0.5027182153340427,0.08663969183988379,-0.04645041472414133,1.7648094003663595,0.5086873811033608,5.768095254081456,0.015462086885774417,0.3853333103560884,0.3841298606291066,0.9667729279058362,XNGUSD,fut,0.24288684629926863,0.3762278858035598,0.14,0.44,0.05,0.7,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.0877365986408651,0.07689165331820758,0.1651107429112243,0.5313803153804398,0.667630434603692,-0.3908891072970363,0.19670963422313448,-0.14161207376371934,3.0781351127534697,0.5242053789731052,,,,,,PORT,fut,0.6342378372228018,0.41808205415273425,0.73,0.6,0.18,0.7,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.09265841613153203,0.06913567616073535,0.22656870529050344,0.4089638770399761,0.4824325539902685,-0.5515071946753909,0.1253577049007087,-0.43011767745610696,2.3204671087868403,0.5116664541629479,9.369362022740885,0.02341720293853275,0.5121680993306843,0.7046816038403702,0.966720078885739,XTIUSD,fut,0.6012008941847,0.19129127838819404,0.52,0.7,-0.03,0.3,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.11590908607291711,0.09600624893766319,0.22009461734426886,0.526632988446118,0.6558426058677654,-0.5207094521834059,0.18437585209005877,0.08235467195154185,3.0394308835350716,0.5125553914327917,7.8436155131839165,0.020394415133503877,0.6190471937930556,0.5903384843573338,0.9678341672623302,XBRUSD,fut,0.6093005349068942,0.4399227911866434,0.92,0.37,0.42,0.36,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.06032539142981463,0.040313917377408304,0.20392577857090582,0.2958203315567543,0.37068423151337043,-0.5068762988008351,0.07953403517343922,0.024089574801468876,1.6829311834511196,0.507862033984276,5.7682811800234735,0.021257743219144355,0.40007040820930134,0.38416922053241104,0.9668955370279548,XNGUSD,fut,0.21250191520917971,0.3769283607407326,0.12,0.4,0.01,0.79,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,1.0,
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.08850023575495815,0.0780144888290113,0.16342733775846024,0.5415265093882783,0.6838507179293792,-0.36343185604281547,0.21466056849958828,-0.12825821701978346,3.1369091304059236,0.524019068573524,,,,,,PORT,fut,0.6386451881162217,0.4342439174980221,0.72,0.62,0.21,0.68,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,1.0,
trend+0.5xseasonal_wf_N10_sign,1991-10-29,2024-03-28,32.2,0.0751844763543723,0.05550887384234171,0.205298571785055,0.36622016266674023,0.4384323198503876,-0.5233303805513171,0.10606851026662036,-0.3922964702540832,2.077938638966075,0.5100089251561902,8.262636211625116,0.018672062426333236,0.45704673782162764,0.641030215889547,0.966720078885739,XTIUSD,fut,0.6051341157200383,0.08655975627126146,0.27,0.87,-0.11,0.12,G_overlay,1,1.0,,seasonal_wf_N10_sign,0.5,0.1084705527525865
trend+0.5xseasonal_wf_N10_sign,1990-08-30,2024-03-28,33.3,0.09859149085573442,0.0805308786007588,0.20548441617108726,0.4798003308126622,0.5962900753612487,-0.4756999778389832,0.16928922083746073,-0.013704834294951528,2.7691389931824526,0.5078778926637124,7.077686461460648,0.016206253080328414,0.5584583690070747,0.5440960401036117,0.9678341672623302,XBRUSD,fut,0.5363644123239278,0.4202635416805011,0.73,0.43,0.38,0.27,G_overlay,1,1.0,,seasonal_wf_N10_sign,0.5,0.1084705527525865
